,round,model train acc,model train loss,model test acc,model test loss
0,0,0.1230595453413045,1.6234090496821876,0.12703846880355604,1.623572551484404
1,10,0.5339966838046145,1.5253027363927192,0.5370527867978392,1.5240515126217213
2,20,0.5847023801129431,1.4609058100603987,0.5916428640608341,1.458767031827322
3,30,0.6031925491200807,1.4204002875929207,0.6113595492341739,1.4177028931114883
4,40,0.6149762680347366,1.3924169947910696,0.6247936194327322,1.3893154702355408
5,50,0.6241691186569797,1.371772903543765,0.6353143056471019,1.368359220878246
6,60,0.6316264069932526,1.3558101495953325,0.6407223824135151,1.3521462463756944
7,70,0.6372766516073133,1.3430249008234567,0.6449242084725395,1.3391562448603902
8,80,0.6419740654544162,1.3324961411281397,0.6500758512025787,1.3284574243385376
9,90,0.6467061071611556,1.3236283802001945,0.6531277141162732,1.3194471666726004
10,100,0.6509973110353584,1.3160200309365282,0.6558856296756694,1.3117184748669004
