,round,model train acc,model train loss,model test acc,model test loss
0,0,0.1230595453413045,1.6234090496821876,0.12703846880355604,1.623572551484404
1,10,0.534235687685323,1.5251727421735548,0.537353693598333,1.5239160086709607
2,20,0.584941020587342,1.460309749633943,0.5916428640608341,1.4581562718912016
3,30,0.6036695817087477,1.4194013186164138,0.6128496205526428,1.4166813753507665
4,40,0.6153170048898678,1.3909837289212394,0.6247936194327322,1.3878516292932432
5,50,0.6249853577151558,1.3698295517976633,0.6353054487505074,1.3663755712998265
6,60,0.6324772635439861,1.35334003144559,0.6410116365216042,1.349625515435856
7,70,0.638162284256492,1.340287693383159,0.6461356364228786,1.33636157850605
8,80,0.6435401621345571,1.3291467088005484,0.650070751087316,1.3250425395484347
9,90,0.647420696591938,1.3212014495598694,0.6537042678171945,1.3169716643880005
10,100,0.6519492032627204,1.3135685697792976,0.6570993762331364,1.3092185710984434
